merchant_name,canonical_category,region,contact_phone,contact_email,registration_date,region_pic_email,source_submission_id,duplicates_collapsed
Harmoni Anugerah Resources,Grocery & Convenience,Sarawak,0821758338,harmonianuge73@gmail.com,2026-02-05,margaret.anyi@example-ops.test,B040,1
Warung Impian Trading,Grocery & Convenience,Sarawak,0826520764,warungimpian54@outlook.com,2026-05-23,margaret.anyi@example-ops.test,B043,3
Sinar Mutiara Enterprise,Fashion & Apparel,Sarawak,0824291916,sinarmutiara31@gmail.com,2026-05-17,margaret.anyi@example-ops.test,B044,2
Harmoni Selera Sdn Bhd,Home & Living,East Coast,094122687,harmoniseler10@gmail.com,2026-04-09,nurul.huda@example-ops.test,B045,1
Sinar Fajar & Sons,Home & Living,Sarawak,0828640167,sinarfajarso53@outlook.com,2026-03-04,margaret.anyi@example-ops.test,B046,1
Gerai Cemerlang Resources,Fashion & Apparel,East Coast,095469297,geraicemerla15@biz.test,2026-01-01,nurul.huda@example-ops.test,B047,1
The Cemerlang Enterprise,Fashion & Apparel,East Coast,093566734,thecemerlang27@biz.test,2026-03-21,nurul.huda@example-ops.test,B048,1
Restoran Fajar & Sons,Professional Services,Northern,045703755,restoranfaja56@outlook.com,2026-02-05,weiming.tan@example-ops.test,B049,1
Pusat Gemilang,Health & Beauty,East Coast,099511964,pusatgemilan37@outlook.com,2026-05-08,nurul.huda@example-ops.test,B050,1
Sejahtera Harapan Holdings,Health & Beauty,Southern,078467062,sejahterahar3@biz.test,2026-02-15,devraj.pillai@example-ops.test,B051,1
Kedai Damai Sdn Bhd,Fashion & Apparel,Southern,078768792,kedaidamaisd53@gmail.com,2026-05-03,devraj.pillai@example-ops.test,B052,1
Gerai Anugerah & Sons,Professional Services,Sarawak,0825052580,geraianugera89@outlook.com,2026-03-10,margaret.anyi@example-ops.test,B053,1
The Mutiara Trading,Grocery & Convenience,Sarawak,0820043310,themutiaratr38@yahoo.com,2026-03-04,margaret.anyi@example-ops.test,B054,1
Sejahtera Damai Enterprise,Health & Beauty,Central,035631734,sejahteradam72@gmail.com,2026-04-22,aishah.rahman@example-ops.test,B055,1
Sejahtera Impian Resources,Food & Beverage,Sabah,0889608092,sejahteraimp54@outlook.com,2026-04-27,jeffrey.lojuki@example-ops.test,B056,1
Maju Fajar,Electronics & Repair,Sabah,0885466374,majufajar23@yahoo.com,2026-04-18,jeffrey.lojuki@example-ops.test,B061,1
Bestari Anugerah Sdn Bhd,Fashion & Apparel,Northern,043293882,bestarianuge93@biz.test,2026-01-27,weiming.tan@example-ops.test,B063,1
Harmoni Damai Resources,Electronics & Repair,Northern,042780626,harmonidamai85@gmail.com,2026-05-24,weiming.tan@example-ops.test,B064,1
Kedai Damai Resources,Health & Beauty,Sabah,0886431283,kedaidamaire50@gmail.com,2026-05-17,jeffrey.lojuki@example-ops.test,C003,1
Maju Gemilang Sdn Bhd,Health & Beauty,Sabah,0881533312,majugemilang54@gmail.com,2026-01-07,jeffrey.lojuki@example-ops.test,C005,1
Gerai Impian Enterprise,Food & Beverage,Sabah,0885592492,geraiimpiane92@gmail.com,2026-03-27,jeffrey.lojuki@example-ops.test,C007,2
Sejahtera Lestari Enterprise,Professional Services,Northern,047184437,sejahterales73@outlook.com,2026-05-14,weiming.tan@example-ops.test,C010,2
Bestari Impian Resources,Fashion & Apparel,Southern,076555654,bestariimpia28@gmail.com,2026-03-28,devraj.pillai@example-ops.test,C011,1
Harmoni Selera,Fashion & Apparel,Southern,075521589,harmoniseler16@yahoo.com,2026-04-08,devraj.pillai@example-ops.test,C012,1
Syarikat Harapan Sdn Bhd,Grocery & Convenience,Northern,044224455,syarikathara35@yahoo.com,2026-04-22,weiming.tan@example-ops.test,C013,1
Bestari Kasih,Professional Services,Sarawak,0822834940,bestarikasih73@biz.test,2026-04-13,margaret.anyi@example-ops.test,C015,2
Syarikat Lestari Trading,Health & Beauty,Northern,042885363,syarikatlest69@outlook.com,2026-05-02,weiming.tan@example-ops.test,C017,1
Syarikat Selera Holdings,Fashion & Apparel,East Coast,098046895,syarikatsele81@yahoo.com,2026-02-08,nurul.huda@example-ops.test,C018,1
Warung Cemerlang,Home & Living,Central,038811237,warungcemerl6@biz.test,2026-05-09,aishah.rahman@example-ops.test,C019,1
Sinar Gemilang,Fashion & Apparel,Northern,043800895,sinargemilan49@gmail.com,2026-04-14,weiming.tan@example-ops.test,C021,1
Sinar Bahagia Holdings,Professional Services,Sarawak,0825506858,sinarbahagia59@biz.test,2026-04-06,margaret.anyi@example-ops.test,C022,1
Harmoni Lestari Enterprise,Food & Beverage,Northern,045405729,harmonilesta21@outlook.com,2026-02-23,weiming.tan@example-ops.test,C024,1
Gerai Harapan,Electronics & Repair,Northern,045385636,geraiharapan64@gmail.com,2026-01-20,weiming.tan@example-ops.test,C026,1
Kedai Impian & Sons,Electronics & Repair,Sabah,0884748622,kedaiimpians9@yahoo.com,2026-03-21,jeffrey.lojuki@example-ops.test,C027,1
Harmoni Anugerah Trading,Health & Beauty,Sabah,0880429000,harmonianuge61@outlook.com,2026-02-21,jeffrey.lojuki@example-ops.test,C029,1
Harmoni Bahagia Sdn Bhd,Fashion & Apparel,Central,039731731,harmonibahag8@yahoo.com,2026-04-14,aishah.rahman@example-ops.test,C030,1
Sejahtera Fajar Trading,Health & Beauty,Northern,046587479,sejahterafaj35@gmail.com,2026-05-24,weiming.tan@example-ops.test,C033,1
Sinar Anugerah Trading,Health & Beauty,Sarawak,0822011219,sinaranugera12@gmail.com,2026-04-11,margaret.anyi@example-ops.test,C035,1
Maju Selera Enterprise,Home & Living,Northern,049347505,majuseleraen90@gmail.com,2026-03-28,weiming.tan@example-ops.test,C037,2
Restoran Cemerlang Holdings,Home & Living,Central,038846251,restoranceme74@outlook.com,2026-01-08,aishah.rahman@example-ops.test,C041,1
Restoran Mutiara Holdings,Health & Beauty,East Coast,090764006,restoranmuti72@yahoo.com,2026-04-15,nurul.huda@example-ops.test,C043,1
Sinar Fajar Resources,Electronics & Repair,East Coast,099777694,sinarfajarre9@gmail.com,2026-01-20,nurul.huda@example-ops.test,C044,1
Warung Bahagia Resources,Fashion & Apparel,Northern,043906714,warungbahagi92@outlook.com,2026-02-24,weiming.tan@example-ops.test,C045,1
Warung Kasih Trading,Fashion & Apparel,Sabah,0882194478,warungkasiht50@outlook.com,2026-03-04,jeffrey.lojuki@example-ops.test,C046,1
Harmoni Gemilang,Electronics & Repair,East Coast,091030216,harmonigemil95@biz.test,2026-04-20,nurul.huda@example-ops.test,C047,1
Gerai Cemerlang Holdings,Food & Beverage,Northern,045010357,geraicemerla74@biz.test,2026-02-27,weiming.tan@example-ops.test,C048,2
The Selera Enterprise,Home & Living,East Coast,092244216,theseleraent56@outlook.com,2026-05-07,nurul.huda@example-ops.test,C052,1
Bestari Gemilang Enterprise,Food & Beverage,East Coast,090541417,bestarigemil31@yahoo.com,2026-02-18,nurul.huda@example-ops.test,C053,1
Gerai Impian Trading,Professional Services,Central,037176989,geraiimpiant79@outlook.com,2026-05-24,aishah.rahman@example-ops.test,C054,1
Gerai Selera Enterprise,Home & Living,Sabah,0887687530,geraiselerae49@outlook.com,2026-01-16,jeffrey.lojuki@example-ops.test,C056,1
Warung Cemerlang Holdings,Grocery & Convenience,Central,035738555,warungcemerl50@biz.test,2026-03-28,aishah.rahman@example-ops.test,C058,1
Syarikat Impian Sdn Bhd,Grocery & Convenience,Central,039222755,syarikatimpi29@outlook.com,2026-05-26,aishah.rahman@example-ops.test,C059,1
Bestari Jaya & Sons,Food & Beverage,Southern,072330278,bestarijayas75@biz.test,2026-05-07,devraj.pillai@example-ops.test,C060,1
